Time,Rel. Hum.,Rel.Hum2.,Rel. Hum 1
04/06/2020 00:00:00,49.43369,0.002300644,46.34624
04/06/2020 00:01:00,49.02294,0.002316621,45.84812
04/06/2020 00:02:00,48.6454,0.002319816,45.3983
04/06/2020 00:03:00,48.3459,0.002319816,45.20466
04/06/2020 00:04:00,48.61181,0.002307035,45.24487
04/06/2020 00:05:00,48.95515,0.002345379,45.53162
04/06/2020 00:06:00,48.86262,0.002354965,45.6119
04/06/2020 00:07:00,48.52747,0.002329402,45.3151
04/06/2020 00:08:00,48.65309,0.002278277,45.34227
04/06/2020 00:09:00,48.58032,0.00231023,45.10435
04/06/2020 00:10:00,49.4904,0.00235816,45.75289
04/06/2020 00:11:00,49.72249,0.002307035,46.07233
04/06/2020 00:12:00,50.15006,0.002303839,46.49284
04/06/2020 00:13:00,49.80021,0.002374137,46.54188
04/06/2020 00:14:00,49.66785,0.002367746,45.99554
04/06/2020 00:15:00,50.3686,0.002329402,46.31696
04/06/2020 00:16:00,50.12097,0.002323011,46.52088
04/06/2020 00:17:00,49.81939,0.002348574,45.99812
04/06/2020 00:18:00,50.0125,0.002342183,46.32496
04/06/2020 00:19:00,49.95678,0.002287863,46.47691
04/06/2020 00:20:00,49.37987,0.002361356,45.79076
04/06/2020 00:21:00,49.41962,0.002335793,45.86318
04/06/2020 00:22:00,49.40993,0.002361355,46.1073
04/06/2020 00:23:00,49.35126,0.002329402,46.21222
04/06/2020 00:24:00,49.44169,0.002335793,46.22191
04/06/2020 00:25:00,49.39766,0.002342183,46.28073
04/06/2020 00:26:00,49.6823,0.002335793,46.41666
04/06/2020 00:27:00,50.3576,0.00231023,47.01017
04/06/2020 00:28:00,50.54711,0.002313426,47.37165
04/06/2020 00:29:00,50.78795,0.002338988,47.4958
04/06/2020 00:30:00,50.84636,0.002300644,47.6111
04/06/2020 00:31:00,50.69314,0.00231023,47.50735
04/06/2020 00:32:00,50.66323,0.002335793,47.3901
04/06/2020 00:33:00,50.38074,0.002323011,47.0422
04/06/2020 00:34:00,50.79509,0.002374137,47.18113
04/06/2020 00:35:00,50.81166,0.002307034,47.31646
04/06/2020 00:36:00,50.77496,0.002323012,47.35402
04/06/2020 00:37:00,49.8586,0.002364551,46.5277
04/06/2020 00:38:00,49.98157,0.002374136,46.46043
04/06/2020 00:39:00,50.07963,0.00231662,46.53341
04/06/2020 00:40:00,50.37179,0.002319816,46.7163
04/06/2020 00:41:00,50.71989,0.002307035,46.99608
04/06/2020 00:42:00,51.17867,0.002300644,47.49353
04/06/2020 00:43:00,51.41564,0.002338988,47.79801
04/06/2020 00:44:00,51.52487,0.00235816,47.94596
04/06/2020 00:45:00,51.72721,0.002329402,48.07033
04/06/2020 00:46:00,51.46545,0.00231023,48.0686
04/06/2020 00:47:00,51.01702,0.002307035,47.63997
04/06/2020 00:48:00,50.53371,0.002316621,47.37899
04/06/2020 00:49:00,49.94429,0.002297449,47.00774
04/06/2020 00:50:00,48.67528,0.002367746,45.75489
04/06/2020 00:51:00,49.72956,0.002338988,46.22661
04/06/2020 00:52:00,50.54342,0.002313426,47.30959
04/06/2020 00:53:00,49.44205,0.002326206,46.68012
04/06/2020 00:54:00,49.05981,0.002319816,45.77915
04/06/2020 00:55:00,49.77857,0.002326207,46.32737
04/06/2020 00:56:00,50.71137,0.002354964,47.29694
04/06/2020 00:57:00,50.70139,0.002313425,47.45634
04/06/2020 00:58:00,50.49471,0.002338988,47.58907
04/06/2020 00:59:00,50.38041,0.002393309,47.36012
04/06/2020 01:00:00,50.19893,0.002278276,47.34673
04/06/2020 01:01:00,50.01735,0.002329402,47.30755
04/06/2020 01:02:00,49.74908,0.002316621,47.08026
04/06/2020 01:03:00,49.44499,0.002367746,46.60859
04/06/2020 01:04:00,50.51784,0.002345379,47.0308
04/06/2020 01:05:00,50.51363,0.002380527,47.59513
04/06/2020 01:06:00,50.40889,0.002351769,47.4289
04/06/2020 01:07:00,50.49773,0.002294253,47.43865
04/06/2020 01:08:00,50.70074,0.002354965,47.55597
04/06/2020 01:09:00,50.81961,0.002313425,47.70347
04/06/2020 01:10:00,50.7716,0.002374136,47.74357
04/06/2020 01:11:00,50.91029,0.002300644,47.82537
04/06/2020 01:12:00,51.17115,0.002323012,47.78819
04/06/2020 01:13:00,51.34517,0.002386918,48.08642
04/06/2020 01:14:00,51.15328,0.002335793,48.00169
04/06/2020 01:15:00,51.51371,0.002377332,48.19211
04/06/2020 01:16:00,51.64241,0.002319816,48.46469
04/06/2020 01:17:00,51.67841,0.002332597,48.50301
04/06/2020 01:18:00,51.60741,0.002354964,48.55415
04/06/2020 01:19:00,51.80394,0.002281472,48.58693
04/06/2020 01:20:00,51.37236,0.002370941,48.22082
04/06/2020 01:21:00,51.12144,0.002383723,47.81105
04/06/2020 01:22:00,51.73562,0.002335792,48.26378
04/06/2020 01:23:00,52.17548,0.002326207,48.62576
04/06/2020 01:24:00,52.50692,0.002370942,49.12418
04/06/2020 01:25:00,52.14275,0.002319816,49.1348
04/06/2020 01:26:00,52.34768,0.002342183,49.10309
04/06/2020 01:27:00,52.9472,0.002284667,49.56871
04/06/2020 01:28:00,52.39177,0.002316621,49.39044
04/06/2020 01:29:00,52.285,0.002377332,49.04875
04/06/2020 01:30:00,51.88379,0.002367745,48.87331
04/06/2020 01:31:00,51.74983,0.002370941,48.89919
04/06/2020 01:32:00,52.22367,0.002335793,49.15572
04/06/2020 01:33:00,52.44558,0.002338988,49.44128
04/06/2020 01:34:00,52.67327,0.002345379,49.66623
04/06/2020 01:35:00,52.31803,0.00235816,49.56282
04/06/2020 01:36:00,51.91968,0.00235816,49.1772
04/06/2020 01:37:00,52.18254,0.002367746,49.27301
04/06/2020 01:38:00,52.11469,0.002329402,49.30872
04/06/2020 01:39:00,52.17413,0.002303839,49.51998
04/06/2020 01:40:00,52.32865,0.002361356,49.72871
04/06/2020 01:41:00,52.24444,0.002345379,49.66451
04/06/2020 01:42:00,52.36361,0.002335793,49.70575
04/06/2020 01:43:00,52.41319,0.002396504,49.71278
04/06/2020 01:44:00,52.41418,0.002335793,49.69268
04/06/2020 01:45:00,52.35059,0.002377332,49.45712
04/06/2020 01:46:00,52.5076,0.002367747,49.61041
04/06/2020 01:47:00,52.34657,0.002374136,49.43627
04/06/2020 01:48:00,52.919,0.002316621,49.70592
04/06/2020 01:49:00,52.85279,0.002313426,49.88601
04/06/2020 01:50:00,53.48466,0.002393309,50.19951
04/06/2020 01:51:00,53.99491,0.002338988,50.55112
04/06/2020 01:52:00,54.19188,0.002374137,50.88744
04/06/2020 01:53:00,54.547,0.002345379,51.15135
04/06/2020 01:54:00,53.96461,0.002374137,51.00357
04/06/2020 01:55:00,53.26423,0.002351769,50.14191
04/06/2020 01:56:00,53.24443,0.002361356,50.10205
04/06/2020 01:57:00,53.20919,0.002367746,50.02409
04/06/2020 01:58:00,53.46313,0.002351769,50.24303
04/06/2020 01:59:00,53.31106,0.002354965,50.21955
04/06/2020 02:00:00,53.37264,0.002361355,50.28854
04/06/2020 02:01:00,53.51595,0.002354965,50.45591
04/06/2020 02:02:00,53.464,0.002287863,50.28547
04/06/2020 02:03:00,53.62983,0.00231023,50.38268
04/06/2020 02:04:00,53.44148,0.002323011,50.33508
04/06/2020 02:05:00,53.55591,0.002351769,50.38769
04/06/2020 02:06:00,53.3792,0.002319816,50.51021
04/06/2020 02:07:00,53.17385,0.002345379,50.28907
04/06/2020 02:08:00,53.19587,0.002335793,50.50865
04/06/2020 02:09:00,53.03422,0.002326207,50.40085
04/06/2020 02:10:00,52.91898,0.002300644,50.45741
04/06/2020 02:11:00,52.83144,0.002409286,50.19616
